amplitude,bias,RMSE,coverage50,coverage90,coverage95,NLL,PIT_mean
-0.09,2.2126429726538125e-07,8.384223453144701e-05,0.51,0.895,0.94375,-8.237792678359432,0.5215549216526534
-0.065,2.951141044795283e-06,8.125971296084274e-05,0.4975,0.9025,0.96,-8.260806738371256,0.5125825409910005
-0.045,-1.938998484296642e-06,8.583992751531843e-05,0.51,0.89875,0.95,-8.258295909974954,0.49682417328556966
-0.03,4.985963829960498e-06,8.3282543828308e-05,0.49375,0.895,0.9525,-8.241887499989865,0.512200893429081
-0.0125,-9.181358450163009e-07,9.21383299111706e-05,0.495,0.88375,0.9425,-8.203497982062324,0.4996275913807854
0.0125,-8.827502770564103e-07,8.857020664192853e-05,0.495,0.8825,0.92875,-8.165591911357104,0.5010024305435037
0.03,-8.678919312658448e-07,8.414051081839064e-05,0.49375,0.92,0.9575,-8.244518797142897,0.49620427558391667
0.045,4.6984324723225654e-07,8.890620147083186e-05,0.4875,0.89125,0.94375,-8.193839993286128,0.49571709267844655
0.065,3.4087699053109157e-07,8.330521832942194e-05,0.525,0.8875,0.94625,-8.221710293684499,0.49001808342992065
0.09,-6.200066017893122e-06,8.581694818352038e-05,0.4675,0.88,0.94625,-8.202309072368294,0.45815699060735654
